user,occurance,tasks
joe3,0,0
omcpeak,0,76
jbrown,0,0
gzuvich,0,0
zpetzer,0,0
lscott,0,0
kbracton,0,41
dboston,0,0
amonreal,0,0
jroberts,0,12
fshef,0,108
mcarlson,0,112
zsyed,2,280
dhedblom01,0,0
dhedblom02,0,0
mturner,0,0
joseph,1,7
daniel,1,2
brent,0,2
tcarter,0,97
tdaniels,322,1976
lapilado,0,0
modeh,0,0
bvillagomez,0,58
grao,75,2183
gmuleya,0,675
lalman,0,0
acooper,0,0
joe2,0,1
tdilorenzo,0,422
anewman,0,0
dreed,15,1634
aalvarez,0,71
abatiste,0,8
tmulkey,0,0
nthompson,6,967
jpatel,0,14
icommer-freeland,0,600
smoussa,2,22
mprice,0,47
rstewart,0,0
spotter,0,25
aaddison,0,0
kblakes,0,0
cmorris,0,10
cflowers,0,0
ddenton,5,1230
kparker,0,335
avalle,0,0
ncahn,0,0
sfuller,0,18
dwashington,0,52
sbatte,3,1131
jmassaquoi,0,0
tmills-stephens,0,0
mhill,0,25
dnelson,0,0
kdees,0,0
ncarrazco,1,273
emorrison,0,0
posully,6,133
jcarter,0,0
kdestefano,0,65
lcordero,0,9
lurias,0,0
lwakefield,1,81
nvaldez,7,286
jbryant,0,0
rcredell,0,0
ohamilton,0,25
gkim,0,37
ghernandez,0,0
jcollins,0,167
shawkins,2,108
rstokes,0,0
jdancy,0,1
alinkous,0,0
cebersbach,7,770
joe4,0,0
ntaylor,0,26
jnapacena,6,606
smcclain,0,21
ddevens,0,51
sgray,3,198
cbiemuller,0,7
dmorant,37,618
cbrown,0,0
nlekkala,0,0
jpark,21,1200
chernandez,0,29
mmendoza,0,0
egriffin,28,1196
djohnston,1,84
bgallow,0,1
aroberts,0,0
twilliams,0,0
jquezada,1,841
mcarnes,17,856
kwhitmore,2,53
arivera,0,0
hwillingham,0,0
pcoats,0,0
afitzgerald,0,34
phickman,1,450
skelly,0,0
ngoldsmith,0,0
jokereke,0,0
jnelson,0,34
dwilliams,6,84
hkiellani,20,633
cfoth,1,8
tnovak,0,0
tullman,1,451
jrivera,85,1097
tjohnson,4,54
djeffries,0,0
anguyen,29,937
esalazar,0,0
dlakshmi,13,2384
tlocklear,8,333
dtyagi,0,10
gphillips,0,0
cvalentine,1,727
mheller,6,65
clange,0,5
mjohnson,1,173
hkeegan,1,115
cfelch,2,56
fonwuachi,1,67
tbradfield,1,9
jjordan,0,0
jdeville,16,442
mgodinez,1871,1339
apayne,0,33
agaray,2,285
jgary,0,0
abyrd,0,0
mmcclellan,3,448
agray,0,124
shollman,0,0
twatkins,0,0
ahacko,0,0
lroyston,5,1297
farinze,1,100
jkeener,0,0
vdouropis,0,0
dswan,73,1271
acruz,0,5
aguevara,0,0
imooroe,0,54
dcastellon,6,400
dpelmon,0,0
kcantrell,47,715
rrene,0,16
medwards,0,0
dhill,0,2
vwilliams,19,174
rdouglas,2,243
mbrown,178,2464
fessa,2,77
mestrella,0,9
lchen,0,7
ygarner,1,55
ngonzalez,0,46
eharris,0,145
jmedina,0,0
ydavis,0,25
thill,47,1104
ssali,0,21
sjohnson,3,145
rblay,3,114
selks,0,407
criley,0,0
abarbieri,9,328
bwillams,0,23
zmitchell,0,0
cphilips,0,140
bpena,8,3079
iserquina,0,45
ccooper,0,1
iabell,1,117
jfluker,1,194
sdip,4,254
egarelova,5,1739
mdejulio,0,3
mboilard,391,1902
rgoldstein,0,1
cspivey,1,67
dho,2,47
joe5,0,0
jwilliams,4,661
jwilliams2,0,0
acho,0,0
afrancis,0,0
afyffe-barnett,0,0
agonzalez,0,0
ainfelice,1,248
airizarry,0,0
ajones,0,0
akolesnik,0,0
alopez,0,0
apartida,0,9
araghavan,0,6
ashells,0,0
athrower,2,611
aumbro,2,102
awayne,4,107
awilliams,0,227
badusei,0,0
belsayed,0,0
bmark,3,51
bqureshi,0,12
cavans,0,0
cbostrom,0,104
cbourdon,1,33
cgallo,0,0
cluu,0,0
cpatrick,0,78
cwright,0,0
dbowen,0,0
ddeleon,0,0
dgarsinii,0,0
dsansone,0,0
dwest,42,209
ealvarez,0,0
eniedermeyer,6,1504
fbaldwin,0,0
fdalembert,0,31
fkokro,0,0
fpumo,0,0
fvorhees,0,0
gallen,2,206
gaugustine,0,33
gbanks,1,216
gking,0,0
grodriguez,55,2541
gshakkour,0,0
gwelch,0,1
hchun,6,251
hkaur,0,0
hrivera,0,0
ihoshovska,0,0
isomerstein,0,0
jalam,0,0
jespinal,0,0
jguinto,8,160
jjavate,0,186
jmccue,0,0
jmerty,0,120
joliver,0,0
jpearson,2,28
jsalcedo,1,128
jsoto,0,0
juthomson,0,0
kakelly,3,349
kdyer,17,85
kmyhro,0,0
kpeirce,12,825
lconti,0,0
ldimasi,2,142
lformaker,0,0
lwilliams,9,935
lyoung,1,522
mantonini,47,1720
menglander,0,51
mflint,1,22
mfrias,0,0
mhomme,0,525
mkazais,31,930
mlindsay,0,232
mmierkowska,0,0
mprzemielewski,0,0
mstrawbridge,0,69
myambao,0,0
nakhter,4,710
nobaseki,0,0
oaltreche,0,18
pcatucci,4,390
pcho,0,0
purbaez,0,0
rblames,6,319
rbrunell,0,54
rli,0,0
rmiskopey,0,0
rorellana,0,2
rperry,0,12
rquintana,2,1208
schaykler,714,1811
sdavidson,0,0
sdolman,0,0
sgonzalez,16,808
shayashi,9,1589
sjackson-brewer,3,802
sjennings,0,0
slopez,6,17
sngapout,0,57
srafie,0,0
sselvin,1,35
syilmam,0,0
tabel,0,0
tbrewer,0,0
tcansino,0,0
tedwards,0,0
twong,193,1229
vkallas,0,0
vvilchez,0,37
ychen,0,501
